score,reple
10,"""말 없는 사나이""는 서부 영화 제목같고, ""아일랜드의 연풍""은 매우 진지한 로맨스 영화의 제목같다."
10,&#39;아일랜드 기질&#39;이 뭔지를 확실히 보여주는 코미디. 아일랜드에 대한 감독의 애정이 뚝둑 묻어나는 듯...  원래 한국에는 &#39;아일랜드 연풍&#39;이란 제목으로 주말의 명화로 소개됨. 원제는 좀 의아하군...  quiet man이라니..
10,대박  여자  아이 정말 잘낳게 생겼음
10,20세기 내가 가장 사랑하는 두 영화중의 하나
10,왜 재밌는지 모르게 재밌다. 특히나 자전거 데이트씬은 근래 보았던 어떤 최신멜로보다도 감동이었슴.
7,나는 희극이 별로에요.
1,내가본것중최악 시간아깝다
