score,reple
10,예고편 보고 기대했는데 기대이상으로 좋았어요! 배경도 캐릭터도 굉장히 퀄리티 높고 몰입해서 봤습니다. 추천!
1,내가 뭘본거지..
1,애들도 재미없어 할 듯
10,"안녕하세요 박평식입니다. 이번 캐리비안 해적 시리즈는 조니뎁이 빠져서 개봉전에 우여곡절이 많았지만, 남은 배우들끼리 아주 좋은 연기 보여줘서 조니뎁의 공백을 잘 채워줬던거 같습니다."
